county,month,year,republicanfatalities
Kilkenny,10,1920,0
Kilkenny,11,1920,0
Kilkenny,12,1920,0
Kilkenny,1,1921,0
Kilkenny,2,1921,2
Kilkenny,3,1921,0
Kilkenny,4,1921,0
Kilkenny,5,1921,1
Kilkenny,6,1921,2
Kilkenny,7,1921,1
Kilkenny,8,1921,0
Kilkenny,9,1921,0
Kilkenny,10,1921,0
Kilkenny,11,1921,0
Kilkenny,12,1921,0
Laois,1,1919,0
Laois,2,1919,0
Laois,3,1919,0
Laois,4,1919,0
Laois,5,1919,0
Laois,6,1919,0
Laois,7,1919,0
Laois,8,1919,0
Laois,9,1919,0
Laois,10,1919,0
Laois,11,1919,0
Laois,12,1919,0
Laois,1,1920,0
Laois,2,1920,0
Laois,3,1920,0
Laois,4,1920,0
Laois,5,1920,0
Laois,6,1920,1
Laois,7,1920,0
Laois,8,1920,0
Laois,9,1920,0
Laois,10,1920,0
Laois,11,1920,0
Laois,12,1920,0
Laois,1,1921,0
Laois,2,1921,0
Laois,3,1921,0
Laois,4,1921,0
Laois,5,1921,2
Laois,6,1921,0
Laois,7,1921,0
Laois,8,1921,0
Laois,9,1921,0
Laois,10,1921,0
Laois,11,1921,0
Laois,12,1921,0
Leitrim,1,1919,0
Leitrim,2,1919,0
Leitrim,3,1919,0
Leitrim,4,1919,0
Leitrim,5,1919,0
Leitrim,6,1919,0
Leitrim,7,1919,0
Leitrim,8,1919,0
Leitrim,9,1919,0
Leitrim,10,1919,0
Leitrim,11,1919,0
Leitrim,12,1919,0
Leitrim,1,1920,0
Leitrim,2,1920,0
Leitrim,3,1920,0
Leitrim,4,1920,0
Leitrim,5,1920,0
Leitrim,6,1920,0
Leitrim,7,1920,0
Leitrim,8,1920,0
Leitrim,9,1920,0
Leitrim,10,1920,0
Leitrim,11,1920,0
Leitrim,12,1920,0
Leitrim,1,1921,0
Leitrim,2,1921,0
Leitrim,3,1921,0
Leitrim,4,1921,0
Leitrim,5,1921,0
Leitrim,6,1921,0
Leitrim,7,1921,0
Leitrim,8,1921,0
Leitrim,9,1921,0
Leitrim,10,1921,0
Leitrim,11,1921,6
Leitrim,12,1921,1
Limerick,1,1919,0
Limerick,2,1919,0
Limerick,3,1919,0
Limerick,4,1919,0
Limerick,5,1919,0
Limerick,6,1919,1
Limerick,7,1919,0
Limerick,8,1919,1
Limerick,9,1919,0
Limerick,10,1919,0
Limerick,11,1919,0
Limerick,12,1919,0
Limerick,1,1920,0
Limerick,2,1920,0
Limerick,3,1920,1
Limerick,4,1920,1
Limerick,5,1920,2
Limerick,6,1920,3
Limerick,7,1920,2
Limerick,8,1920,1
Limerick,9,1920,2
Limerick,10,1920,1
Limerick,11,1920,0
Limerick,12,1920,4
Limerick,1,1921,2
Limerick,2,1921,6
Limerick,3,1921,2
Limerick,4,1921,2
Limerick,5,1921,3
Limerick,6,1921,0
Limerick,7,1921,3
Limerick,8,1921,0
Limerick,9,1921,1
Limerick,10,1921,0
Limerick,11,1921,0
Limerick,12,1921,0
Longford,1,1919,0
Longford,2,1919,0
Longford,3,1919,0
Longford,4,1919,0
Longford,5,1919,0
Longford,6,1919,0
Longford,7,1919,0
Longford,8,1919,0
Longford,9,1919,0
Longford,10,1919,0
Longford,11,1919,0
Longford,12,1919,0
Longford,1,1920,0
Longford,2,1920,0
Longford,3,1920,0
Longford,4,1920,0
Longford,5,1920,0
Longford,6,1920,0
Longford,7,1920,0
Longford,8,1920,0
Longford,9,1920,0
Longford,10,1920,0
Longford,11,1920,0
Longford,12,1920,0
Longford,1,1921,0
Longford,2,1921,0
Longford,3,1921,1
Longford,4,1921,1
Longford,5,1921,0
Longford,6,1921,2
Longford,7,1921,0
Longford,8,1921,0
Longford,9,1921,0
Longford,10,1921,0
Longford,11,1921,0
Longford,12,1921,1
Louth,1,1919,0
Louth,2,1919,0
Louth,3,1919,0
Louth,4,1919,0
Louth,5,1919,0
Louth,6,1919,0
Louth,7,1919,0
Louth,8,1919,0
Louth,9,1919,0
Louth,10,1919,0
Louth,11,1919,0
Louth,12,1919,0
Louth,1,1920,1
Louth,2,1920,0
Louth,3,1920,0
Louth,4,1920,1
Louth,5,1920,0
Louth,6,1920,0
Louth,7,1920,0
Louth,8,1920,0
Louth,9,1920,0
Louth,10,1920,0
Louth,11,1920,1
Louth,12,1920,1
Louth,1,1921,0
Louth,2,1921,0
Louth,3,1921,0
Louth,4,1921,0
Louth,5,1921,1
Louth,6,1921,2
Louth,7,1921,0
Louth,8,1921,0
Louth,9,1921,1
Louth,10,1921,0
Louth,11,1921,0
Louth,12,1921,0
Mayo,1,1919,0
Mayo,2,1919,0
Mayo,3,1919,0
Mayo,4,1919,0
Mayo,5,1919,0
Mayo,6,1919,0
Mayo,7,1919,0
Mayo,8,1919,0
Mayo,9,1919,0
Mayo,10,1919,0
Mayo,11,1919,0
Mayo,12,1919,0
Mayo,1,1920,0
Mayo,2,1920,0
Mayo,3,1920,0
Mayo,4,1920,0
Mayo,5,1920,0
Mayo,6,1920,0
Mayo,7,1920,0
Mayo,8,1920,0
Mayo,9,1920,0
Mayo,10,1920,0
Mayo,11,1920,0
Mayo,12,1920,0
Mayo,1,1921,3
Mayo,2,1921,0
Mayo,3,1921,1
Mayo,4,1921,0
Mayo,5,1921,5
Mayo,6,1921,3
Mayo,7,1921,1
Mayo,8,1921,0
Mayo,9,1921,0
Mayo,10,1921,0
Mayo,11,1921,0
Mayo,12,1921,0
Meath,1,1919,0
Meath,2,1919,0
Meath,3,1919,0
Meath,4,1919,0
Meath,5,1919,0
Meath,6,1919,0
Meath,7,1919,0
Meath,8,1919,0
Meath,9,1919,0
Meath,10,1919,0
Meath,11,1919,0
Meath,12,1919,0
Meath,1,1920,0
Meath,2,1920,0
Meath,3,1920,0
Meath,4,1920,0
Meath,5,1920,0
Meath,6,1920,0
Meath,7,1920,1
Meath,8,1920,1
Meath,9,1920,0
Meath,10,1920,0
Meath,11,1920,0
Meath,12,1920,0
Meath,1,1921,0
Meath,2,1921,0
Meath,3,1921,0
Meath,4,1921,0
Meath,5,1921,0
Meath,6,1921,0
Meath,7,1921,0
Meath,8,1921,0
Meath,9,1921,0
Meath,10,1921,0
Meath,11,1921,0
Meath,12,1921,0
Monaghan,1,1919,0
Monaghan,2,1919,0
Monaghan,3,1919,0
Monaghan,4,1919,0
Monaghan,5,1919,0
Monaghan,6,1919,0
Monaghan,7,1919,0
Monaghan,8,1919,0
Monaghan,9,1919,0
Monaghan,10,1919,0
Monaghan,11,1919,0
Monaghan,12,1919,0
Monaghan,1,1920,2
Monaghan,2,1920,0
Monaghan,3,1920,0
Monaghan,4,1920,0
Monaghan,5,1920,0
Monaghan,6,1920,0
Monaghan,7,1920,0
Monaghan,8,1920,0
Monaghan,9,1920,1
Monaghan,10,1920,0
Monaghan,11,1920,0
Monaghan,12,1920,0
Monaghan,1,1921,0
Monaghan,2,1921,0
Monaghan,3,1921,0
Monaghan,4,1921,0
Monaghan,5,1921,0
Monaghan,6,1921,0
Monaghan,7,1921,0
Monaghan,8,1921,0
Monaghan,9,1921,0
Monaghan,10,1921,0
Monaghan,11,1921,0
Monaghan,12,1921,0
Offaly,1,1919,0
Offaly,2,1919,0
Offaly,3,1919,0
Offaly,4,1919,0
Offaly,5,1919,0
Offaly,6,1919,0
Offaly,7,1919,0
Offaly,8,1919,0
Offaly,9,1919,0
Offaly,10,1919,0
Offaly,11,1919,0
Offaly,12,1919,0
Offaly,1,1920,0
Offaly,2,1920,0
Offaly,3,1920,0
Offaly,4,1920,0
Offaly,5,1920,0
Offaly,6,1920,0
Offaly,7,1920,0
Offaly,8,1920,0
Offaly,9,1920,0
Offaly,10,1920,0
Offaly,11,1920,0
Offaly,12,1920,0
Offaly,1,1921,1
Offaly,2,1921,0
Offaly,3,1921,0
Offaly,4,1921,0
Offaly,5,1921,0
Offaly,6,1921,0
Offaly,7,1921,0
Offaly,8,1921,1
Offaly,9,1921,0
Offaly,10,1921,0
Offaly,11,1921,0
Offaly,12,1921,0
Roscommon,1,1919,0
Roscommon,2,1919,0
Roscommon,3,1919,0
Roscommon,4,1919,0
Roscommon,5,1919,0
Roscommon,6,1919,0
Roscommon,7,1919,0
Roscommon,8,1919,0
Roscommon,9,1919,0
Roscommon,10,1919,0
Roscommon,11,1919,0
Roscommon,12,1919,0
Roscommon,1,1920,1
Roscommon,2,1920,0
Roscommon,3,1920,0
Roscommon,4,1920,0
Roscommon,5,1920,0
Roscommon,6,1920,0
Roscommon,7,1920,0
Roscommon,8,1920,0
Roscommon,9,1920,2
Roscommon,10,1920,0
Roscommon,11,1920,0
Roscommon,12,1920,1
Roscommon,1,1921,0
Roscommon,2,1921,2
Roscommon,3,1921,0
Roscommon,4,1921,2
Roscommon,5,1921,1
Roscommon,6,1921,3
Roscommon,7,1921,0
Roscommon,8,1921,0
Roscommon,9,1921,0
Roscommon,10,1921,0
Roscommon,11,1921,0
Roscommon,12,1921,0
Sligo,1,1919,0
Sligo,2,1919,0
Sligo,3,1919,0
Sligo,4,1919,0
Sligo,5,1919,0
Sligo,6,1919,0
Sligo,7,1919,0
Sligo,8,1919,0
Sligo,9,1919,0
Sligo,10,1919,0
Sligo,11,1919,0
Sligo,12,1919,0
Sligo,1,1920,0
Sligo,2,1920,0
Sligo,3,1920,0
Sligo,4,1920,0
Sligo,5,1920,0
Sligo,6,1920,0
Sligo,7,1920,0
Sligo,8,1920,0
Sligo,9,1920,0
Sligo,10,1920,0
Sligo,11,1920,0
Sligo,12,1920,0
Sligo,1,1921,0
Sligo,2,1921,0
Sligo,3,1921,0
Sligo,4,1921,0
Sligo,5,1921,0
Sligo,6,1921,0
Sligo,7,1921,0
Sligo,8,1921,0
Sligo,9,1921,0
Sligo,10,1921,0
Sligo,11,1921,0
Sligo,12,1921,0
Tipperary,1,1919,0
Tipperary,2,1919,0
Tipperary,3,1919,0
Tipperary,4,1919,0
Tipperary,5,1919,0
Tipperary,6,1919,0
Tipperary,7,1919,0
Tipperary,8,1919,0
Tipperary,9,1919,0
Tipperary,10,1919,0
Tipperary,11,1919,0
Tipperary,12,1919,0
Tipperary,1,1920,0
Tipperary,2,1920,0
Tipperary,3,1920,1
Tipperary,4,1920,1
Tipperary,5,1920,1
Tipperary,6,1920,0
Tipperary,7,1920,0
Tipperary,8,1920,0
Tipperary,9,1920,0
Tipperary,10,1920,2
Tipperary,11,1920,3
Tipperary,12,1920,6
Tipperary,1,1921,2
Tipperary,2,1921,1
Tipperary,3,1921,2
Tipperary,4,1921,1
Tipperary,5,1921,4
Tipperary,6,1921,8
Tipperary,7,1921,0
Tipperary,8,1921,0
Tipperary,9,1921,0
Tipperary,10,1921,0
Tipperary,11,1921,0
Tipperary,12,1921,1
Tyrone,1,1919,0
Tyrone,2,1919,0
Tyrone,3,1919,0
Tyrone,4,1919,0
Tyrone,5,1919,0
Tyrone,6,1919,0
Tyrone,7,1919,0
Tyrone,8,1919,0
Tyrone,9,1919,0
Tyrone,10,1919,0
Tyrone,11,1919,0
Tyrone,12,1919,0
Tyrone,1,1920,0
Tyrone,2,1920,0
Tyrone,3,1920,0
Tyrone,4,1920,0
Tyrone,5,1920,0
Tyrone,6,1920,0
Tyrone,7,1920,0
Tyrone,8,1920,0
Tyrone,9,1920,0
Tyrone,10,1920,0
Tyrone,11,1920,0
Tyrone,12,1920,0
Tyrone,1,1921,0
Tyrone,2,1921,1
Tyrone,3,1921,0
Tyrone,4,1921,0
Tyrone,5,1921,1
Tyrone,6,1921,0
Tyrone,7,1921,2
Tyrone,8,1921,1
Tyrone,9,1921,0
Tyrone,10,1921,0
Tyrone,11,1921,0
Tyrone,12,1921,0
Waterford,1,1919,0
Waterford,2,1919,0
Waterford,3,1919,0
Waterford,4,1919,1
Waterford,5,1919,0
Waterford,6,1919,0
Waterford,7,1919,0
Waterford,8,1919,0
Waterford,9,1919,0
Waterford,10,1919,0
Waterford,11,1919,0
Waterford,12,1919,0
Waterford,1,1920,0
Waterford,2,1920,0
Waterford,3,1920,0
Waterford,4,1920,0
Waterford,5,1920,0
Waterford,6,1920,0
Waterford,7,1920,0
Waterford,8,1920,0
Waterford,9,1920,0
Waterford,10,1920,0
Waterford,11,1920,0
Waterford,12,1920,0
Waterford,1,1921,0
Waterford,2,1921,0
Waterford,3,1921,2
Waterford,4,1921,0
Waterford,5,1921,2
Waterford,6,1921,0
Waterford,7,1921,2
Waterford,8,1921,1
Waterford,9,1921,0
Waterford,10,1921,0
Waterford,11,1921,0
Waterford,12,1921,0
Westmeath,1,1919,0
Westmeath,2,1919,0
Westmeath,3,1919,0
Westmeath,4,1919,0
Westmeath,5,1919,0
Westmeath,6,1919,0
Westmeath,7,1919,0
Westmeath,8,1919,0
Westmeath,9,1919,0
Westmeath,10,1919,0
Westmeath,11,1919,0
Westmeath,12,1919,0
Westmeath,1,1920,0
Westmeath,2,1920,0
Westmeath,3,1920,0
Westmeath,4,1920,0
Westmeath,5,1920,0
Westmeath,6,1920,0
Westmeath,7,1920,0
Westmeath,8,1920,0
Westmeath,9,1920,0
Westmeath,10,1920,0
Westmeath,11,1920,0
Westmeath,12,1920,0
Westmeath,1,1921,1
Westmeath,2,1921,0
Westmeath,3,1921,0
Westmeath,4,1921,0
Westmeath,5,1921,1
Westmeath,6,1921,0
Westmeath,7,1921,0
Westmeath,8,1921,0
Westmeath,9,1921,0
Westmeath,10,1921,0
Westmeath,11,1921,0
Westmeath,12,1921,0
Wexford,1,1919,0
Wexford,2,1919,0
Wexford,3,1919,0
Wexford,4,1919,0
Wexford,5,1919,0
Wexford,6,1919,0
Wexford,7,1919,0
Wexford,8,1919,0
Wexford,9,1919,0
Wexford,10,1919,0
Wexford,11,1919,0
Wexford,12,1919,0
Wexford,1,1920,0
Wexford,2,1920,0
Wexford,3,1920,0
Wexford,4,1920,0
Wexford,5,1920,0
